female,race_white,race_black,race_hisp,race_asian,educ,age,income,region,dem,rep,ideology,interest_pol,conf_wh,conf_cong,conf_sc,conf_mil,conf_crim,conf_med,conf_wh_w2,conf_cong_w2,conf_sc_w2,conf_mil_w2,conf_crim_w2,conf_med_w2,news_nat,fake_news,fox_news,breit_news,tot_news,fake_exp,conf_gov,conf_gov_w2,weight
1,1,0,0,0,3,36,3,2,0,0,1,3,3,3,4,5,2,3,3,3,3,4,2,3,4,1,0,0,6.047372179,Not exposed,3.4,3,1.128033707
1,0,0,0,0,4,63,2,4,1,0,2,4,1,1,1,1,1,2,1,2,2,2,2,2,4,1,0,0,5.932245187,Not exposed,1,1.8,0.4
0,1,0,0,0,6,30,2,1,1,0,1,5,1,1,1,1,1,3,1,3,1,1,2,2,4,1,1,0,7.957527402,Exposed,1,1.6,0.4
0,1,0,0,0,6,37,9,2,0,0,1,5,1,2,2,3,3,2,1,2,2,3,3,2,4,1,0,0,6.458338283,Not exposed,2.2,2.2,0.4
0,1,0,0,0,6,68,11,3,0,0,4,5,4,2,3,5,2,4,4,3,3,5,2,3,4,0,1,1,7.909489493,Exposed,3.2,3.4,0.4
0,1,0,0,0,1,70,8,3,1,0,2,4,1,1,2,3,3,1,1,1,2,3,3,2,3,0,1,0,7.851661178,Exposed,2,2,4
0,1,0,0,0,5,52,6,3,1,0,1,2,1,2,2,3,2,3,2,2,2,2,2,3,1,1,1,0,6.803505258,Not exposed,2,2,0.4
0,1,0,0,0,6,34,6,1,0,0,2,4,2,3,3,3,2,1,1,3,3,3,1,2,3,0,0,0,3.784189634,Exposed,2.6,2.2,0.4
0,1,0,0,0,3,49,6,2,1,0,2,4,2,2,1,4,3,2,1,2,3,3,3,2,4,1,1,0,7.799753318,Exposed,2.4,2.4,0.571696829
1,1,0,0,0,4,54,3,3,0,0,4,1,2,2,2,4,3,2,3,3,3,4,3,2,1,0,0,0,5.459585514,Not exposed,2.6,3.2,0.4
1,1,0,0,0,6,56,11,2,1,0,2,4,2,3,3,4,4,2,2,2,4,4,5,1,4,1,1,0,6.37331979,Not exposed,3.2,3.4,0.4
1,1,0,0,0,3,60,4,3,0,1,4,3,4,3,3,3,3,3,4,3,4,4,3,3,2,0,0,0,2.079441542,Not exposed,3.2,3.6,0.481109275
0,1,0,0,0,6,30,8,2,1,0,1,4,2,2,3,4,3,2,2,3,2,4,3,2,4,0,0,0,5.476463552,Not exposed,2.8,2.8,0.4
1,1,0,0,0,5,33,9,1,0,1,3,4,3,4,4,3,3,2,1,1,1,4,2,1,3,1,1,0,7.783640596,Exposed,3.4,1.8,0.4
0,0,1,0,0,5,57,7,3,1,0,2,5,1,1,2,3,2,1,1,2,3,4,2,1,4,1,1,0,7.194436851,Exposed,1.8,2.4,0.4
0,1,0,0,0,6,63,2,2,1,0,3,4,1,2,3,4,2,1,4,3,5,5,2,1,3,1,1,0,5.683579767,Exposed,2.4,3.8,0.4
0,0,0,0,1,5,40,8,4,0,1,5,4,2,2,2,2,2,1,4,4,5,3,4,1,3,1,0,0,6.66057515,Not exposed,2,4,1.370889359
1,0,0,0,0,5,63,2,1,1,0,2,2,2,2,2,2,2,2,2,2,3,1,4,2,3,1,1,0,7.356918242,Exposed,2,2.4,0.4
1,0,0,0,0,4,36,4,4,0,0,5,5,1,4,3,4,3,1,1,4,3,4,3,1,3,1,0,0,2.397895273,Not exposed,3,3,0.459020597
1,0,0,0,0,5,57,4,1,0,1,5,3,4,4,5,4,4,2,4,3,5,4,4,2,3,0,0,0,5.796057751,Not exposed,4.2,4,0.4
0,1,0,0,0,5,43,3,3,1,0,1,5,1,2,2,4,3,1,1,3,3,4,3,1,4,0,1,0,4.736198448,Exposed,2.4,2.8,0.4
1,1,0,0,0,2,55,6,3,0,1,4,4,3,3,3,5,3,3,4,2,3,5,3,3,4,0,1,0,4.532599493,Not exposed,3.4,3.4,1.278788584
0,1,0,0,0,5,68,8,4,0,1,5,4,3,3,3,4,3,3,3,3,4,4,3,3,2,1,0,0,6.056784013,Not exposed,3.2,3.4,1.249377162
